RT;div;leg;distance;id_jour;id_taxo;strata;NOD
11;Div0;Leg+;-24;42;Tri_alexa;1;24
11;Div0;Leg+;-24;42;Tri_alexa;2;1
11;Div0;Leg+;-24;42;Tri_alexa;3;0
11;Div0;Leg+;-9;42;Tri_alexa;1;19
11;Div0;Leg+;-9;42;Tri_alexa;2;39
11;Div0;Leg+;-9;42;Tri_alexa;3;19
11;Div0;Leg+;-9;42;Tri_alexa;4;19
11;Div0;Leg+;-3;42;Tri_alexa;1;46
11;Div0;Leg+;-3;42;Tri_alexa;2;17
11;Div0;Leg+;-3;42;Tri_alexa;3;0
11;Div0;Leg+;6;42;Tri_alexa;1;27
11;Div0;Leg+;6;42;Tri_alexa;2;24
11;Div0;Leg+;6;42;Tri_alexa;3;0
11;Div0;Leg+;6;42;Tri_alexa;4;0
11;Div0;Leg+;12;42;Tri_alexa;1;26
11;Div0;Leg+;12;42;Tri_alexa;2;3
11;Div0;Leg+;12;42;Tri_alexa;3;0
11;Div0;Leg+;21;42;Tri_alexa;1;20
11;Div0;Leg+;21;42;Tri_alexa;2;28
11;Div0;Leg+;21;42;Tri_alexa;3;0
11;Div0;Leg+;21;42;Tri_alexa;4;0
12;Div1;Leg+;-24;42;Tri_alexa;1;31
12;Div1;Leg+;-24;42;Tri_alexa;2;0
12;Div1;Leg+;-18;42;Tri_alexa;1;7
12;Div1;Leg+;-18;42;Tri_alexa;2;7
12;Div1;Leg+;-9;42;Tri_alexa;1;0
12;Div1;Leg+;-9;42;Tri_alexa;2;0
12;Div1;Leg+;-3;42;Tri_alexa;1;27
12;Div1;Leg+;-3;42;Tri_alexa;2;6
12;Div1;Leg+;12;42;Tri_alexa;1;24
12;Div1;Leg+;12;42;Tri_alexa;2;3
12;Div1;Leg+;21;42;Tri_alexa;1;30
12;Div1;Leg+;21;42;Tri_alexa;2;18
12;Div1;Leg+;21;42;Tri_alexa;3;0
12;Div1;Leg+;21;42;Tri_alexa;4;0
13;Div2;Leg+;-24;42;Tri_alexa;1;6
13;Div2;Leg+;-24;42;Tri_alexa;2;2
13;Div2;Leg+;-18;42;Tri_alexa;1;9
13;Div2;Leg+;-18;43;Tri_alexa;2;0
13;Div2;Leg+;-9;42;Tri_alexa;1;10
13;Div2;Leg+;-9;43;Tri_alexa;2;0
13;Div2;Leg+;-3;42;Tri_alexa;1;24
13;Div2;Leg+;-3;42;Tri_alexa;2;3
